date,target_cash_rate,overnight_cash_rate
Aug-1990,14.00,14.07
Sep-1990,14.00,14.05
Oct-1990,13.43,13.47
Nov-1990,13.00,13.05
Dec-1990,12.58,12.68
Jan-1991,12.00,12.02
Feb-1991,12.00,12.01
Mar-1991,12.00,12.02
Apr-1991,11.55,11.58
May-1991,10.98,10.99
Jun-1991,10.50,10.54
Jul-1991,10.50,10.49
Aug-1991,10.50,10.52
Sep-1991,9.55,9.59
Oct-1991,9.50,9.49
Nov-1991,8.64,8.64
Dec-1991,8.50,8.52
Jan-1992,7.69,7.75
Feb-1992,7.50,7.52
Mar-1992,7.50,7.54
Apr-1992,7.50,7.51
May-1992,6.64,6.69
Jun-1992,6.50,6.57
Jul-1992,5.91,5.93
Aug-1992,5.75,5.86
Sep-1992,5.75,5.74
Oct-1992,5.75,5.74
Nov-1992,5.75,5.77
Dec-1992,5.75,5.79
Jan-1993,5.75,5.75
Feb-1993,5.75,5.74
Mar-1993,5.60,5.62
Apr-1993,5.25,5.25
May-1993,5.25,5.26
Jun-1993,5.25,5.27
Jul-1993,5.23,5.24
Aug-1993,4.75,4.77
Sep-1993,4.75,4.72
Oct-1993,4.75,4.69
Nov-1993,4.75,4.71
Dec-1993,4.75,4.73
Jan-1994,4.75,4.71
Feb-1994,4.75,4.71
Mar-1994,4.75,4.72
Apr-1994,4.75,4.69
May-1994,4.75,4.67
Jun-1994,4.75,4.68
Jul-1994,4.75,4.66
Aug-1994,5.11,5.01
Sep-1994,5.50,5.44
Oct-1994,5.79,5.71
Nov-1994,6.50,6.43
Dec-1994,7.05,6.96
Jan-1995,7.50,7.49
Feb-1995,7.50,7.48
Mar-1995,7.50,7.49
Apr-1995,7.50,7.51
May-1995,7.50,7.50
Jun-1995,7.50,7.51
Jul-1995,7.50,7.51
Aug-1995,7.50,7.51
Sep-1995,7.50,7.49
Oct-1995,7.50,7.49
Nov-1995,7.50,7.50
Dec-1995,7.50,7.51
Jan-1996,7.50,7.50
Feb-1996,7.50,7.50
Mar-1996,7.50,7.52
Apr-1996,7.50,7.49
May-1996,7.50,7.51
Jun-1996,7.50,7.51
Jul-1996,7.48,7.51
Aug-1996,7.00,7.01
Sep-1996,7.00,7.01
Oct-1996,7.00,7.00
Nov-1996,6.57,6.58
Dec-1996,6.18,6.23
Jan-1997,6.00,6.04
Feb-1997,6.00,6.01
Mar-1997,6.00,6.04
Apr-1997,6.00,6.05
May-1997,5.86,5.91
Jun-1997,5.50,5.57
Jul-1997,5.46,5.44
Aug-1997,5.00,4.98
Sep-1997,5.00,4.98
Oct-1997,5.00,4.98
Nov-1997,5.00,5.00
Dec-1997,5.00,5.03
Jan-1998,5.00,5.00
Feb-1998,5.00,4.98
Mar-1998,5.00,5.00
Apr-1998,5.00,4.98
May-1998,5.00,5.00
Jun-1998,5.00,5.07
Jul-1998,5.00,4.98
Aug-1998,5.00,4.97
Sep-1998,5.00,4.97
Oct-1998,5.00,4.97
Nov-1998,5.00,4.98
Dec-1998,4.76,4.75
Jan-1999,4.75,4.72
Feb-1999,4.75,4.72
Mar-1999,4.75,4.74
Apr-1999,4.75,4.74
May-1999,4.75,4.75
Jun-1999,4.75,4.76
Jul-1999,4.75,4.74
Aug-1999,4.75,4.73
Sep-1999,4.75,4.75
Oct-1999,4.75,4.75
Nov-1999,4.98,4.98
Dec-1999,5.00,4.97
Jan-2000,5.00,4.98
Feb-2000,5.48,5.46
